AES,"BREAST RECONSTRUCTION,BIL.",190,635,412.5,222.5,2
AES,"LABIAPLASTY MAJOR/MINOR,SIMPLE",90,90,90.0,0.0,1
AES,"Blepharoplasty suture, bilat",20,125,62.27,25.96,11
AES,"Vaginoplasty revision,each stit",40,55,47.5,7.48,2
AES,"Repair eyestrings involute-B, G",160,160,160.0,0.0,1
AES,Implant./Removal tissue expader,16,225,124.8,86.5,5
AES,"SONO Liposuction, small",50,155,102.5,52.5,2
AES,"Lower eyelid fat transfer-B, S",95,155,135.0,28.28,3
AES,Orthognathic surgery,55,547,282.08,105.05,25
AES,"Embolic nipple augmentation,bil",55,115,83.33,24.6,3
AES,"Blepharoplasty-repair con.B, C",210,210,210.0,0.0,1
AES,"Hymenoplasty, pay self",70,70,70.0,0.0,1
AES,S.R. Inj. silicone jel-partical,32,150,91.0,59.0,2
AES,"lower eyelid revision,each stitc",65,70,67.5,2.45,2
AES,"Augmentation Rhinoplasty, natur",100,430,296.71,94.42,7
AES,"Suction lipectomy < 5%,payself",80,450,202.75,147.03,4
AES,Lateral canthal sling langophth,105,110,107.5,2.45,2
AES,"Excision of aporcrine glands,bi",135,190,151.25,22.46,4
AES,Vaginoplasty superficial,80,120,100.0,16.33,3
AES,Scar revision 1 hour (pay self),110,115,112.5,2.45,2
AES,"Mammoplasty revision,each stitc",130,140,135.0,5.0,2
AES,"Reduction mammoplasty, simple",210,210,210.0,0.0,1
AES,"Reduction mammoplasty, complect",287,475,362.33,81.16,3
AES,"Forehead lift,complicated",210,240,225.0,15.0,2
AES,"SONO Liposuction, middle",135,215,170.5,29.33,4
AES,"Augmentaion mammoplasty,simple",175,175,175.0,0.0,1
AES,"Areoloplasty revision,each stit",45,65,55.0,10.0,2
AES,"Lower eyelid Blepharoplasty-U,G",160,215,187.5,27.5,2
AES,"Augmentaion mammoplasty, com.",235,455,327.5,81.66,4
AES,"Reduct.mammoplasty re,each stit",25,160,92.5,67.5,2
AES,"Capsulotomy mammoplasty, simple",255,260,257.5,2.45,2
AES,SONO Liposuction large,175,330,251.75,69.74,4
AES,"Total face lift,complicated",308,590,464.75,100.99,4
AES,"Blepharoplasty-incision,B,S",47,81,67.0,14.27,4
AES,"Embolic nipple augmentation,uni",60,60,60.0,0.0,1
AES,"Total face lift, restrengthen",300,300,300.0,0.0,1
AES,"Forehead lift, endoscopy",210,288,242.67,33.07,3
AES,"Forehead lift,general",475,475,475.0,0.0,1
AES,"Blepharoplasty-U,C",45,45,45.0,0.0,1
AES,Whole abdominoplasty,230,245,237.5,7.48,2
AES,Accessory breast resectioin-N,45,130,87.5,42.5,2
AES,Lower abdominoplasty,265,265,265.0,0.0,1
AES,"Reduction mammoplasty com, bilat",335,335,335.0,0.0,1
AES,"Dermabrasion (medium), pay self",90,90,90.0,0.0,1
AES,"Reduction mammoplasty, general",175,180,177.5,2.45,2
AES,"upper eyelid revision,each stitc",80,80,80.0,0.0,1
AES,S.R. Inj. silicone jel-nose,95,110,102.5,7.48,2
AES,"Augmentation Rhino., perfection",75,75,75.0,0.0,1
AES,"Augmentaion mammoplasty, unil",265,305,285.0,20.0,2
AES,"Nasal alar Reduction, simple",120,120,120.0,0.0,1
AES,"Fat graft, each mg",65,310,187.5,122.5,2
AES,S. mastectomy & sentinel LM node,77,777,199.34,140.21,157
AES,"Release of scar contracture,foo",170,170,170.0,0.0,1
AES,"GYNECOMASTIA REDUCTION,COMPLICAT",270,270,270.0,0.0,1
AES,Repair crowfoot-C,90,90,90.0,0.0,1
AES,Vaginoplasty deep,110,110,110.0,0.0,1
AES,"Scare revision-general,1 square",110,110,110.0,0.0,1
AES,"Bilateral thigh liposuction,fem",506,506,506.0,0.0,1
AES,"Local lift, simple",350,350,350.0,0.0,1
